seed,auc,accuracy,f1,precision,recall,oob_score,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc
0,0.9545745883898843,0.8896823940325432,0.8973994302892865,0.8697106999962742,0.9289067696270785,0.9264309567236279,0.9451998734310727,0.9836629636050839,0.9433518123667378,0.946083704156643
1,0.9532626144874572,0.889684008824813,0.8971612948373586,0.8709251805730427,0.9273977635910544,0.9249557283951971,0.9455922371057905,0.9820403735957929,0.9427931769722815,0.942624670275964
2,0.9538462958530933,0.8891639633649234,0.896504226420105,0.8721392375375266,0.9244027576110304,0.9253921720243241,0.9458960025313786,0.9841252906214297,0.9428017057569297,0.9425621845026355
3,0.9542858221662934,0.8894227305402308,0.8968279719540686,0.871127373601147,0.9263987615950464,0.9246093150196351,0.9461828920999894,0.9843875722941645,0.9412835820895522,0.9452892421814676
4,0.9545576160030282,0.8907285412280473,0.8979319446151968,0.874059989828259,0.9254017556070224,0.9257385209113043,0.9444235840101257,0.9833962364802689,0.945411513859275,0.9449991296624429
5,0.9536752919695589,0.8886500611569041,0.8962185177766073,0.8710771151807247,0.9254017516070063,0.9252137926234325,0.9441240375487816,0.9839874816069419,0.9440810234541578,0.9425086252683541
6,0.954357806810336,0.8894048158684832,0.8967680915116205,0.8713714320299619,0.9258987575950304,0.9266058104767867,0.9447611011496677,0.9836540727009233,0.9443070362473348,0.9447090171434184
7,0.9536782555079532,0.8891698925629347,0.896824422836225,0.8697673469892164,0.9278987655950623,0.9259096327190208,0.9439384031220336,0.9833606728636268,0.9425799573560767,0.9448339886900751
8,0.954193501501412,0.8891704477483666,0.8965935424271777,0.8714096897991477,0.9258967575870304,0.9250414739553913,0.9442970150827972,0.983165072972096,0.9426524520255863,0.9466594659251688
9,0.9536133222533825,0.8912424434360665,0.898604782682707,0.8725998610342333,0.9284027696110784,0.9257373738333978,0.9429680413458496,0.9839119089215778,0.9433731343283582,0.9442002044177442
10,0.9544078949656928,0.8907207324198813,0.8982672669965446,0.8716178651241724,0.9289037676150704,0.9256455675403533,0.9447821959708891,0.9831472911637749,0.9444307036247335,0.9452713891033738
11,0.9544291844938351,0.891516690487535,0.8988196274328004,0.8730558475464627,0.9284007696030785,0.926079543479477,0.9438160531589495,0.9833562274115466,0.944456289978678,0.9460881674261664
12,0.9547297249691173,0.8894225164863718,0.8968522731894162,0.8716316766121607,0.9259017596070385,0.9255579176562462,0.9443813943676826,0.9831339548075341,0.9439317697228146,0.9474717809784379
13,0.9539175887323986,0.8894298464227939,0.8969312357970485,0.8708842714754362,0.9268987655950625,0.925994816712756,0.9454741061069508,0.9842986632525595,0.9420767590618337,0.9438208265082503
14,0.9534356075402097,0.8904572333935715,0.8976985533469992,0.8732074945293292,0.9259007576030305,0.9266896955834878,0.9437105790528425,0.9839252452778185,0.9425714285714286,0.943535177258749
15,0.9548967070022103,0.8925619921300604,0.8998275815564416,0.8738682583630673,0.9294017716070864,0.9260838212528824,0.9460014766374856,0.9836496272488431,0.9456417910447761,0.9442939330777367
16,0.9538233435567979,0.8894328364038127,0.8968087320937299,0.8719283014387711,0.9254007616030464,0.9262609615491584,0.9445290581162324,0.981955910006268,0.9431130063965885,0.9456953997081022
17,0.9542376320691848,0.8891512086518961,0.8967057264438728,0.8703402699210402,0.9269017636070545,0.9256469631602603,0.9450268958970572,0.9820670463082742,0.9438933901918978,0.9459631958795096
18,0.9545595817411586,0.8920301752502934,0.8994317309690979,0.8723883718299708,0.9304007696030784,0.9260805727921783,0.9447864149351334,0.9836362908926023,0.943910447761194,0.9459051733757046
19,0.9544499841998354,0.8894431563212533,0.8970718434933576,0.870758714435064,0.9274007656030625,0.9265200913478191,0.9448454804345533,0.9829917003409661,0.9435309168443498,0.9464318391794726
20,0.9536159995247862,0.8899547614738569,0.8972984288722471,0.8722652027043434,0.9259007616030464,0.9271274598247117,0.9441451323700031,0.9830005912451267,0.9422388059701494,0.9450794685138652
21,0.9539624730050914,0.8907443622357814,0.8982398306951621,0.8729367894931546,0.9274057636230545,0.9245264193686482,0.9456470836409662,0.9845476085690533,0.9419147121535181,0.9437404876568283
22,0.9541038337411385,0.8907331460013357,0.8983123772036106,0.8710534562471419,0.9294037716150864,0.9253878931440179,0.9436430756249341,0.9843253359650409,0.9435906183368871,0.9448563050376924
23,0.954673229231467,0.8915362707155785,0.8991382087683895,0.8722329510775343,0.9299067736270944,0.9277307990701994,0.9442548254403543,0.9837518726466887,0.9450533049040513,0.9456329139347738
24,0.9546720349431965,0.8914979302628084,0.8989262190532463,0.8722630819640371,0.9294057676230705,0.9271241164307661,0.9456428646767219,0.9832539820137008,0.9441449893390191,0.9456463037433441
25,0.9531045300024731,0.8891785976881057,0.8968688859260635,0.869646248775307,0.9279027696110784,0.9260792721055128,0.9428752241324755,0.9845520540211337,0.9404648187633263,0.9445260230929565
26,0.9537208099525096,0.8904772417293331,0.8976179948843704,0.8731388201756918,0.9253997635990545,0.9258236744603799,0.944537496044721,0.984325335965041,0.9434626865671641,0.9425577212331121
27,0.9541529783056404,0.891255412202953,0.898536933710207,0.873319713935447,0.9274027656110624,0.9267747904570459,0.9448707942200191,0.9829872548888859,0.9455266524520256,0.9432272116616306
28,0.9537010882516781,0.8899551026054298,0.8976592487425606,0.8707040750398136,0.9284057676230704,0.9256507239242333,0.944035439299652,0.9829472458201637,0.9435991471215351,0.9442225207653614
29,0.9538423450172495,0.8907375367207652,0.8981437795321918,0.8725057515540382,0.9274017676070704,0.9252150915104665,0.9445290581162324,0.9842230905671951,0.9423411513859276,0.944276079999643
30,0.9539903031616959,0.891008844555241,0.8986614134629036,0.8712067750131776,0.9299057756231025,0.9273791484960068,0.9455753612488135,0.983685190865485,0.9430405117270789,0.9436601488054059
31,0.9539330038079885,0.8910020190402249,0.8984934759127192,0.8719862823563543,0.9289027696110783,0.9240037964770071,0.9448075097563549,0.9838096635237319,0.9422942430703625,0.9448205988815047
32,0.9538181632659328,0.8902299048423302,0.897600716541582,0.8728834402268515,0.9259007616030465,0.9268616537573878,0.944461554688324,0.9851477445998871,0.9417398720682303,0.9439234817072899
33,0.9542162883792907,0.8915122997681058,0.8987191374200026,0.8737052525844883,0.9273997635990545,0.9259938243505094,0.9442463875118658,0.9840319361277445,0.9439402985074627,0.9446465313700899
34,0.9536425958862073,0.8915082501802492,0.8988205567677637,0.8729710532528467,0.9284037676150705,0.9261689483707315,0.9428878810252083,0.9807823106570822,0.944771855010661,0.9461283368518774
35,0.9541045565962332,0.8904583437644353,0.8978102454016355,0.8724895515682998,0.9269007616030465,0.9255691271602806,0.9437401118025525,0.9836896363175653,0.9443240938166312,0.9446643844481837
36,0.9542560286567046,0.8896921587645519,0.8972931483215457,0.8707323363716077,0.9279017636070543,0.9242615998505066,0.9436937031958654,0.9822626461998053,0.9443368869936034,0.9467308782375441
37,0.9535438077211539,0.8886129073886859,0.8959295357909159,0.8713155108574351,0.9243977515910065,0.9263412025501908,0.9442885771543086,0.9818492191563422,0.9424179104477612,0.9456195241262034
38,0.9538031595792775,0.8894243960965267,0.8969289548407258,0.8712610320305054,0.9264017596070384,0.9270392161298546,0.9455500474633477,0.9836051727280406,0.9433390191897655,0.9427183989359567
39,0.9542374084507299,0.8896875539912635,0.8972387334840346,0.8710835927654841,0.9274027616110465,0.9273926181119319,0.9441029427275603,0.9833028819865837,0.9426567164179105,0.9468870926708651
40,0.953818573790615,0.8889116805730592,0.8962984355309328,0.8716620758536346,0.9244027616110464,0.9266038873343431,0.9458791266744015,0.9840319361277444,0.9416673773987205,0.9436958549615935
41,0.9545866762360067,0.8891626389402005,0.8968502343535082,0.8700478812570906,0.9278997635990544,0.9271240566483477,0.944204197869423,0.9837163090300468,0.9455565031982942,0.9448696948462627
42,0.9550366524788141,0.890477582860906,0.8979183353402729,0.8722373934794421,0.9274037636150545,0.9266878890993486,0.9474232675878071,0.9836585181530035,0.9428784648187633,0.9461863593556823
43,0.954628809761217,0.8917874431365789,0.8990427282422145,0.8737562602832907,0.9279027696110784,0.9273037262166767,0.9453897268220652,0.9840408270319051,0.9435053304904051,0.9455793547004924
44,0.953104600397406,0.8894225164863718,0.896947978769236,0.8708565762556035,0.9269017636070545,0.9259081896355551,0.9425461449214217,0.982756091380713,0.9428400852878465,0.9442760799996428
45,0.953598323870888,0.8888996950993228,0.8964450853369986,0.8706335641155951,0.9263987575950303,0.9267789450663518,0.9458158422107371,0.9836940817696456,0.940089552238806,0.9447938192643639
46,0.9542339885620825,0.8917689732793992,0.8992126042744616,0.8724518665042371,0.9299027696110784,0.9261620710236266,0.9443138909397742,0.983538490946837,0.9453475479744137,0.9437360243873048
47,0.9544928701401663,0.8907304208382022,0.8981334812387454,0.8720145542198792,0.9279037676150704,0.9260810481449925,0.944128256513026,0.9830939457388119,0.9452324093816631,0.9455168689271639
48,0.9537346120823382,0.8902203541641804,0.8975909392919589,0.8723077618640883,0.9268977595910384,0.925218342877703,0.9430482016664907,0.9830139276013675,0.9450063965884862,0.9438699224730085
49,0.9541442726213645,0.8894251653358176,0.8969513958336596,0.8704456439716934,0.9273997635990545,0.9272096315808837,0.9451492458601413,0.9833384456032256,0.9433134328358209,0.94477596618627
50,0.9535117216180249,0.8909957487106407,0.8982742613386308,0.8727577566000493,0.9273997675990704,0.9244338540299657,0.943415251555743,0.9839252452778185,0.9415778251599147,0.9451285644786231
