seed,avg_test_r2,avg_val_r2,fold_results
0,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173257, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.81461093743553, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061831, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505512, 'test_mse': 0.012428116191789582}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671369}]"
1,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173259, 'test_mse': 0.009392668857455945}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.0059542139030618274, 'test_mse': 0.005413499983274497}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505516, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.007932501485232458, 'test_mse': 0.009343909231671365}]"
2,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355303, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061824, 'test_mse': 0.005413499983274494}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505513, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671369}]"
3,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173261, 'test_mse': 0.009392668857455946}, {'fold': 2, 'val_r2': 0.8146109374355299, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061833, 'test_mse': 0.0054134999832745005}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505515, 'test_mse': 0.012428116191789589}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671367}]"
4,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.0059542139030618274, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.00616854487050551, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671364}]"
5,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061829, 'test_mse': 0.005413499983274497}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505515, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671365}]"
6,0.9402139582022595,0.9149578822982946,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355303, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061826, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505512, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900146, 'test_r2': 0.9412953175276666, 'val_mse': 0.007932501485232455, 'test_mse': 0.009343909231671362}]"
7,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061829, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505515, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671365}]"
8,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.81461093743553, 'test_r2': 0.9666195964875018, 'val_mse': 0.00595421390306183, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505512, 'test_mse': 0.01242811619178958}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232463, 'test_mse': 0.009343909231671369}]"
9,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173257, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355299, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061833, 'test_mse': 0.0054134999832745}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505514, 'test_mse': 0.012428116191789585}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232463, 'test_mse': 0.009343909231671369}]"
10,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173259, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.0059542139030618274, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505514, 'test_mse': 0.012428116191789582}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671367}]"
11,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355299, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061833, 'test_mse': 0.0054134999832745005}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505513, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671367}]"
12,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173257, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355304, 'test_r2': 0.9666195964875018, 'val_mse': 0.00595421390306182, 'test_mse': 0.005413499983274495}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.0061685448705055155, 'test_mse': 0.012428116191789585}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.007932501485232458, 'test_mse': 0.009343909231671365}]"
13,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061827, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.00616854487050551, 'test_mse': 0.012428116191789582}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671365}]"
14,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355299, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061832, 'test_mse': 0.0054134999832745}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505509, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.007932501485232458, 'test_mse': 0.009343909231671365}]"
15,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.0059542139030618274, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505513, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671365}]"
16,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.9268861479178071, 'val_mse': 0.006916455100173259, 'test_mse': 0.00939266885745594}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061829, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505513, 'test_mse': 0.012428116191789589}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671367}]"
17,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455945}, {'fold': 2, 'val_r2': 0.81461093743553, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061831, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.00616854487050551, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671365}]"
18,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173258, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061827, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.00616854487050551, 'test_mse': 0.01242811619178958}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671365}]"
19,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173259, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355299, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061833, 'test_mse': 0.005413499983274498}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505515, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671365}]"
20,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355299, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061833, 'test_mse': 0.0054134999832745005}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505514, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.00793250148523246, 'test_mse': 0.009343909231671367}]"
21,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.006916455100173259, 'test_mse': 0.009392668857455943}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061826, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.0061685448705055095, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232463, 'test_mse': 0.009343909231671369}]"
22,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.8146109374355301, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061829, 'test_mse': 0.005413499983274496}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505513, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276666, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671365}]"
23,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.0069164551001732605, 'test_mse': 0.009392668857455945}, {'fold': 2, 'val_r2': 0.81461093743553, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061831, 'test_mse': 0.0054134999832745005}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505514, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232463, 'test_mse': 0.009343909231671367}]"
24,0.9402139582022595,0.9149578822982944,"[{'fold': 1, 'val_r2': 0.9510031786770841, 'test_r2': 0.926886147917807, 'val_mse': 0.00691645510017326, 'test_mse': 0.009392668857455941}, {'fold': 2, 'val_r2': 0.81461093743553, 'test_r2': 0.9666195964875018, 'val_mse': 0.005954213903061832, 'test_mse': 0.0054134999832745}, {'fold': 3, 'val_r2': 0.9613252444905492, 'test_r2': 0.9260547708760627, 'val_mse': 0.006168544870505512, 'test_mse': 0.012428116191789584}, {'fold': 4, 'val_r2': 0.9328921685900144, 'test_r2': 0.9412953175276665, 'val_mse': 0.007932501485232462, 'test_mse': 0.009343909231671367}]"
